"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21601","Add Tax and make new payment","chrome","2026-03-02","passed","2026-03-02","Fix Ticket","ticket-adjustment.feature.spec.js","",""
"","13756","Remove payment history and choose another one","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","17324","Reopen ticket to change tech for service package","chrome","2026-03-02","passed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","41887","Adjust turn - Add Go Again, Remove Go Again","chrome","2026-03-02","failed","2026-03-02","Turn details","turn-details.feature.spec.js","",""
"","5001","View the Employees management page","chrome","2026-03-02","passed","2026-03-02","Employee management","employees.feature.spec.js","",""
"","29572","The Tickets tab displays data correctly","chrome","2026-03-02","passed","2026-03-02","Ticket Payments","ticket-payments.feature.spec.js","",""
"","4278","Verify the Summary Payroll information loads correctly","chrome","2026-03-02","passed","2026-03-02","Payroll","payroll.feature.spec.js","",""
"","28392","Apply auto-discount item and change it to another","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","4759","Search Loyalty Balance","chrome","2026-03-02","passed","2026-03-02","Loyalty Balance","loyalty.feature.spec.js","",""
"","11463","Change Technician for Service package","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","38864","Cannot find gift card after selling a new gift card and then voiding the ticket","chrome","2026-03-02","failed","2026-03-02","Reopen tickets","tickets.feature.spec.js","",""
"","7859","Copy to create a new department","chrome","2026-03-02","passed","2026-03-02","Departments management","departments.feature.spec.js","",""
"","4052","Adjust Loyalty balance","chrome","2026-03-02","passed","2026-03-02","Loyalty Balance","loyalty.feature.spec.js","",""
"","10473","Create a new customer on the fly","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","17116","Void an empty ticket","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","17936","Assign a service package to any technician and use the default waiting list technician when creating a ticket","chrome","2026-03-02","passed","2026-03-02","Check In","check-in.feature.spec.js","",""
"","23058","Use Employee Color for Appointment Header","chrome","2026-03-02","passed","2026-03-02","Appointment","appointment.feature.spec.js","",""
"","14062","Display correct category and service data","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","14838","Add the Open Discount amount for Discount item","chrome","2026-03-02","passed","2026-03-02","Create tickets","create-tickets.feature.spec.js","",""
"","7538","View the Close Out page","chrome","2026-03-02","passed","2026-03-02","Close Out report","close-out.feature.spec.js","",""
"","15957","When clocking in others then clocking out, the technician does not appear in the employee list","chrome","2026-03-02","passed","2026-03-02","Timesheet","timesheet.feature.spec.js","",""
"","7940","Create a new department","chrome","2026-03-02","passed","2026-03-02","Departments management","departments.feature.spec.js","",""
